redes_sociales,sede_id
https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  ,CALEG
https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  ,CANTO
https://www.facebook.com/profile.php?id=100014152878593  //  ,CAREN
@ArgentinaEnAsuncion  //  ,CASUN
,CATLA
facebook.com/ArgEnBarcelona  //  twitter.com/ARGenBarcelona  //  instagram.com/argenbarcelona  //  Consulado  Argentino  en  Barcelona  //  linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/  //  ,CBARC
,CBEIJ
https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  ,CBELO
https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/consulado.argentino.bonn  //  ,CBONN
www.facebook.com/ArgentinaEnCadiz  //  ,CCADI
https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  ,CCEST
https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  ,CCHIC
wwww.facebook.com/ArgentinaEnCochabamba  //  ,CCOCH
https://www.facebook.com/ArgentinaenColonia  //  ,CCOLO
,CCONC
https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //  ,CCURI
,CENCA
,CFBEN
https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //  ,CFDIG
@argenflorianopolis  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  ,CFLOR
,CFRAN
,CGEST
https://www.facebook.com/argenmumbai  //  https://www.instagram.com/argenmumbai  //  https://twitter.com/cgmum1  //  ,CGMUM
,CGPAZ
https://www.facebook.com/ArgentinaEnIsrael/  //  ,CGTEL
,CGUAN
,CGUAY
,CGVAN
,CHAMB
,CHONG
@ARGenHouston  //  https://www.facebook.com/ArgentinaEnHouston/  //  ,CHOUS
,CJOHA
https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel    //  @arg_clang  //  ,CLANG
,CLIMA
https://www.instagram.com/consuladoargentinoenlondres/  //  ,CLOND
https://www.facebook.com/ArgentinaEnMadridEsp/  //  ,CMADR
https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  https://www.instagram.com/consulado_argentino/  //  ,CMALD
https://www.facebook.com/ArgentinaEnPalmaDeMallorca  //  ,CMALL
https://www.facebook.com/ArgentinaEnMontevideo/  //  ,CMDEO
,CMEXI
https://es-la.facebook.com/consuladoargentino.miami/  //  consuladoargentinomia  //  @argenmiami  //  ,CMIAM
https://www.facebook.com/ConsuladoArgentinoenMilan  //  https://www.instagram.com/consuladoargentinoenmilan/  //  https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //  ,CMILA
,CMREA
https://www.facebook.com/ARGenNewYork  //  https://twitter.com/ARGenNewYork  //  https://www.instagram.com/argennewyork/  //  https://www.youtube.com/channel/UCJFygvT8lgEo1PrQqsHqMKg  //  ,CNYOR
consuladoargentinosp@gmail.com  //  ,CPABL
,CPAYS
,CPCAR
https://www.facebook.com/ArgentinaEnPuertoMontt/  //  ,CPMON
https://www.facebook.com/ArgentinaEnBrasilRecife  //  https://www.instagram.com/consuladoargentinorecife  //  ,CRECI
https://www.facebook.com/ArgentinaEnRiodeJaneiro/  //  ,CRIOJ
@ArgEnRoma  //  @consuladoargentinoenroma  //  ,CROMA
https://www.instagram.com/argentinaensalvador  //  https://www.facebook.com/ArgentinaenSalvador  //  https://twitter.com/ArgentinaEnSSA  //  ,CSBAH
cscrs2018  //  www.facebook.com/ArgEnSantaCruz  de  la  Sierra  //  ,CSCRS
,CSHAN
https://www.facebook.com/ArgentinaEnSidney/  //  ,CSIDN
,CSIGO
@consuladoargentinoensalto  //  ,CSLTO
,CTARI
www.facebook.com/argentinaentenerife  //  ,CTENE
https://www.facebook.com/ArgentinaEnToronto/  //  https://www.instagram.com/consuladoargtoronto/  //  ,CTORO
https://www.facebook.com/ArgEnUruguayana/  //  https://twitter.com/CURUGoK  //  ,CURUG
https://www.facebook.com/ArgentinaEnValparaiso  //  ,CVALP
facebook.com/ArgentinaenVigo  //  https://www.instagram.com/argenvigo/  //  ,CVIGO
https://www.facebook.com/ArgEnVillazon  //  ,CVILL
,CYACU
,DIGAC
https://www.facebook.com/ArgEnAlemania/  //  ,EALEM
https://www.facebook.com/ArgentinaEnAngola/  //  https://www.instagram.com/embargentinaenangola/  //  ,EANGO
https://www.facebook.com/argentinaenarabiasaudita/  //  https://twitter.com/ensaudita  //  https://www.instagram.com/arginsaudi/  //  ,EARAB
https://twitter.com/ARGenArgelia  //  https://instagram.com/argenargelia  //  facebook.com/ArgentinaEnArgelia  //  ,EARGE
https://www.instagram.com/arginarmenia/  //  https://www.facebook.com/ArgentinaEnArmenia  //  https://twitter.com/ARGinArmenia  //  ,EARME
https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495  //  ,EASIR
https://www.facebook.com/ArgentinaEnAustralia/  //  https://twitter.com/ARGinAustralia  //  ,EAUST
https://www.facebook.com/EmbassyOfArgentina/  //  www.instagram.com/embargentinaaz  //  www.twitter.com/ARGEnAzer  //  ,EAZER
,EBANG
https://www.facebook.com/ArgentinaEnBarbados/  //  ,EBARB
https://www.facebook.com/ArgentinaEnBelgica/  //  https://www.instagram.com/argenbelgica/  //  ,EBELG
@EmbaArgBolivia  //  @EmbajadaArgentinaBolivia  //  @embajada_argentina_en_bolivia  //  ,EBOLV
https://www.instagram.com/embaargenbrasil  //  https://twitter.com/ArgentinaEnBras  //  https://www.facebook.com/embargbrasil  //  ,EBRAS
https://www.facebook.com/ArgentinaEnBulgaria/  //  https://www.youtube.com/channel/UCK-uSxN84lEMqJwCviEjZow  //  ,EBULG
https://www.facebook.com/ArgentinaInCanada  //  https://www.youtube.com/channel/UC77DGXZ2ppExRtV4WS4IV-A  //  https://twitter.com/ArginCanada  //  https://www.instagram.com/argentinaincanada/  //  https://www.linkedin.com/company/argentinaincanada  //  ,ECANA
https://www.facebook.com/ARGanteUE  //  https://www.linkedin.com/company/arganteue  //  https://twitter.com/ARGanteUE  //  https://www.youtube.com/@ARGanteUE  //  https://www.flickr.com/people/197084220@N02/  //  ,ECEUR
https://www.facebook.com/ArgentinaEnRepCheca/  //  https://www.instagram.com/argentinaenpraga  //  ,ECHES
@ArgentinaEnChina  //  ,ECHIN
@ArgColombia  //  https://www.facebook.com/ArgColombia/?ref=bookmarks  //  argentinaencolombia  //  ,ECOLO
https://www.facebook.com/ArgentinaEnCorea/  //  https://www.instagram.com/embajadaargentinaencorea1/?hl=es  //  ,ECORE
https://www.facebook.com/ArgentinaEnCubaLaHabana/  //  ,ECUBA
https://www.facebook.com/EmbajadadeArgentinaenDinamarca/  //  ,EDINA
